inlines,xlines,samples,operator,avg_peak_memory_usage
300,100,400,envelope,0.41530685424804686
300,100,400,gaussian-filter,0.19655227661132812
300,100,400,gst3d,2.754832458496094
300,100,500,envelope,0.4946022033691406
300,100,500,gaussian-filter,0.21872940063476562
300,100,500,gst3d,3.4187355041503906
300,100,600,envelope,0.5691192626953125
300,100,600,gaussian-filter,0.2411346435546875
300,100,600,gst3d,4.083720397949219
300,100,700,envelope,0.6488174438476563
300,100,700,gaussian-filter,0.26348037719726564
300,100,700,gst3d,4.747921752929687
300,100,800,envelope,0.7281761169433594
300,100,800,gaussian-filter,0.2860443115234375
300,100,800,gst3d,5.413608551025391
300,200,100,envelope,0.2574440002441406
300,200,100,gaussian-filter,0.15188827514648437
300,200,100,gst3d,1.4470718383789063
300,200,200,envelope,0.4146598815917969
300,200,200,gaussian-filter,0.19652786254882812
300,200,200,gst3d,2.7670013427734377
300,200,300,envelope,0.5716629028320312
300,200,300,gaussian-filter,0.2409881591796875
300,200,300,gst3d,4.109087371826172
300,200,400,envelope,0.7258811950683594
300,200,400,gaussian-filter,0.28599700927734373
300,200,400,gst3d,5.451358795166016
300,200,500,envelope,0.8837677001953125
300,200,500,gaussian-filter,0.3305015563964844
300,200,500,gst3d,6.79345932006836
300,200,600,envelope,1.0418167114257812
300,200,600,gaussian-filter,0.37527008056640626
300,200,600,gst3d,8.135919189453125
300,200,700,envelope,1.1989875793457032
300,200,700,gaussian-filter,0.42003860473632815
300,200,700,gst3d,9.478055572509765
300,200,800,envelope,1.354486083984375
300,200,800,gaussian-filter,0.46486434936523435
300,200,800,gst3d,10.820321655273437
300,300,100,envelope,0.3344108581542969
300,300,100,gaussian-filter,0.17415924072265626
300,300,100,gst3d,2.0889907836914063
300,300,200,envelope,0.5738594055175781
300,300,200,gaussian-filter,0.24091110229492188
300,300,200,gst3d,4.108500671386719
300,300,300,envelope,0.8066932678222656
300,300,300,gaussian-filter,0.3082740783691406
300,300,300,gst3d,6.129019165039063
300,300,400,envelope,1.0396614074707031
300,300,400,gaussian-filter,0.3752754211425781
300,300,400,gst3d,8.148246765136719
300,300,500,envelope,1.2754798889160157
300,300,500,gaussian-filter,0.442462158203125
300,300,500,gst3d,10.168596649169922
300,300,600,envelope,1.5106399536132813
300,300,600,gaussian-filter,0.5095420837402344
300,300,600,gst3d,12.188174438476562
300,300,700,envelope,1.7483253479003906
300,300,700,gaussian-filter,0.5764549255371094
300,300,700,gst3d,14.208525085449219
300,300,800,envelope,1.9827842712402344
300,300,800,gaussian-filter,0.6436958312988281
300,300,800,gst3d,16.22748794555664
300,400,100,envelope,0.4120674133300781
300,400,100,gaussian-filter,0.19645614624023439
300,400,100,gst3d,2.754834747314453
300,400,200,envelope,0.7302040100097656
300,400,200,gaussian-filter,0.28604583740234374
300,400,200,gst3d,5.451637268066406
300,400,300,envelope,1.0423271179199218
300,400,300,gaussian-filter,0.3752754211425781
300,400,300,gst3d,8.148558807373046
300,400,400,envelope,1.3549423217773438
300,400,400,gaussian-filter,0.46475372314453123
300,400,400,gst3d,10.846067810058594
300,400,500,envelope,1.66890869140625
300,400,500,gaussian-filter,0.5541191101074219
300,400,500,gst3d,13.542554473876953
300,400,600,envelope,1.9819656372070313
300,400,600,gaussian-filter,0.6437164306640625
300,400,600,gst3d,16.240784454345704
300,400,700,envelope,2.2932418823242187
300,400,700,gaussian-filter,0.7329315185546875
300,400,700,gst3d,18.937740325927734
300,400,800,envelope,2.6051658630371093
300,400,800,gaussian-filter,0.8225364685058594
300,400,800,gst3d,21.635179138183595
300,500,100,envelope,0.49076385498046876
300,500,100,gaussian-filter,0.21848983764648439
300,500,100,gst3d,3.4186378479003907
300,500,200,envelope,0.8881004333496094
300,500,200,gaussian-filter,0.3305213928222656
300,500,200,gst3d,6.793295288085938
300,500,300,envelope,1.2734588623046874
300,500,300,gaussian-filter,0.44239044189453125
300,500,300,gst3d,10.168404388427735
300,500,400,envelope,1.6680511474609374
300,500,400,gaussian-filter,0.5541130065917969
300,500,400,gst3d,13.5427001953125
300,500,500,envelope,2.059944915771484
300,500,500,gaussian-filter,0.6659103393554687
300,500,500,gst3d,16.917939758300783
300,500,600,envelope,2.450499725341797
300,500,600,gaussian-filter,0.7778785705566407
300,500,600,gst3d,20.292539215087892
300,500,700,envelope,2.842040252685547
300,500,700,gaussian-filter,0.8894371032714844
300,500,700,gst3d,23.667311096191405
300,500,800,envelope,3.2323211669921874
300,500,800,gaussian-filter,1.0013313293457031
300,500,800,gst3d,27.041872406005858
300,600,100,envelope,0.5700164794921875
300,600,100,gaussian-filter,0.24089813232421875
300,600,100,gst3d,4.083174133300782
300,600,200,envelope,1.0412208557128906
300,600,200,gaussian-filter,0.37529296875
300,600,200,gst3d,8.135916900634765
300,600,300,envelope,1.5123977661132812
300,600,300,gaussian-filter,0.5094230651855469
300,600,300,gst3d,12.188443756103515
300,600,400,envelope,1.9805458068847657
300,600,400,gaussian-filter,0.6435012817382812
300,600,400,gst3d,16.24069747924805
300,600,500,envelope,2.448952484130859
300,600,500,gaussian-filter,0.7777450561523438
300,600,500,gst3d,20.292146301269533
300,600,600,envelope,2.919159698486328
300,600,600,gaussian-filter,0.9116615295410156
300,600,600,gst3d,24.344468688964845
300,600,700,envelope,3.3904098510742187
300,600,700,gaussian-filter,1.046015167236328
300,600,700,gst3d,28.397108459472655
300,600,800,envelope,3.8600624084472654
300,600,800,gaussian-filter,1.1801673889160156
300,600,800,gst3d,32.44905776977539
300,700,100,envelope,0.6486007690429687
300,700,100,gaussian-filter,0.26332778930664064
300,700,100,gst3d,4.747998809814453
300,700,200,envelope,1.1960189819335938
300,700,200,gaussian-filter,0.41993865966796873
300,700,200,gst3d,9.478116607666015
300,700,300,envelope,1.7474380493164063
300,700,300,gaussian-filter,0.5763076782226563
300,700,300,gst3d,14.208019256591797
300,700,400,envelope,2.29384765625
300,700,400,gaussian-filter,0.7328125
300,700,400,gst3d,18.9379150390625
300,700,500,envelope,2.8424949645996094
300,700,500,gaussian-filter,0.8893989562988281
300,700,500,gst3d,23.66758041381836
300,700,600,envelope,3.3903152465820314
300,700,600,gaussian-filter,1.0459091186523437
300,700,600,gst3d,28.396914672851562
300,700,700,envelope,3.9391937255859375
300,700,700,gaussian-filter,1.2024131774902345
300,700,700,gst3d,33.12679443359375
300,700,800,envelope,4.486833953857422
300,700,800,gaussian-filter,1.3589485168457032
300,700,800,gst3d,37.85605010986328
300,800,100,envelope,0.7275276184082031
300,800,100,gaussian-filter,0.2859954833984375
300,800,100,gst3d,5.413611602783203
300,800,200,envelope,1.3515403747558594
300,800,200,gaussian-filter,0.46474151611328124
300,800,200,gst3d,10.820439910888672
300,800,300,envelope,1.9801071166992188
300,800,300,gaussian-filter,0.6436981201171875
300,800,300,gst3d,16.22724151611328
300,800,400,envelope,2.608930206298828
300,800,400,gaussian-filter,0.8224029541015625
300,800,400,gst3d,21.634745788574218
300,800,500,envelope,3.235590362548828
300,800,500,gaussian-filter,1.0012283325195312
300,800,500,gst3d,27.041141510009766
300,800,600,envelope,3.858551025390625
300,800,600,gaussian-filter,1.1800796508789062
300,800,600,gst3d,32.449127960205075
300,800,700,envelope,4.4838920593261715
300,800,700,gaussian-filter,1.358942413330078
300,800,700,gst3d,37.85620956420898
300,800,800,envelope,5.111376190185547
300,800,800,gaussian-filter,1.5377601623535155
300,800,800,gst3d,43.263973236083984
400,100,100,envelope,0.204083251953125
400,100,100,gaussian-filter,0.13702011108398438
400,100,100,gst3d,0.9942985534667969
400,100,200,envelope,0.31049270629882814
400,100,200,gaussian-filter,0.16662368774414063
400,100,200,gst3d,1.897210693359375
400,100,300,envelope,0.41767578125
400,100,300,gaussian-filter,0.19633941650390624
400,100,300,gst3d,2.754904937744141
400,100,400,envelope,0.5172714233398438
400,100,400,gaussian-filter,0.22635269165039062
400,100,400,gst3d,3.6410751342773438
