inlines,xlines,samples,operator,avg_peak_memory_usage,volume,inlines_x_xlines,inlines_x_samples,xlines_x_samples,diagonal_length,surface_area,log_inlines,log_xlines,log_samples,log_volume,inline_to_xlines_ratio,inlines_to_samples_ratio,xlines_to_samples_ratio,inlines_to_total_ratio,xlines_to_total_ratio,samples_to_total_ratio,mean_inlines_xlines,std_inlines_xlines,quadratic_interaction,log_volume_x_log_diagonal
100,200,600,gst3d,2.7500213623046874,12000000,20000,60000,120000,640.3124237432849,400000,6.643856189774724,7.643856189774724,9.228818690495881,23.516531070045332,0.5,0.16666666666666666,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.6666666666666666,150.0,229.13936293319264,144000000000000,151.99949220775304
100,200,700,envelope,0.46877059936523435,14000000,20000,70000,140000,734.8469228349534,460000,6.643856189774724,7.643856189774724,9.451211111832329,23.73892349138178,0.5,0.14285714285714285,0.2857142857142857,0.1,0.2,0.7,150.0,229.13936293319264,196000000000000,156.701158877375
100,200,700,gaussian-filter,0.21155471801757814,14000000,20000,70000,140000,734.8469228349534,460000,6.643856189774724,7.643856189774724,9.451211111832329,23.73892349138178,0.5,0.14285714285714285,0.2857142857142857,0.1,0.2,0.7,150.0,229.13936293319264,196000000000000,156.701158877375
100,200,700,gst3d,3.1919601440429686,14000000,20000,70000,140000,734.8469228349534,460000,6.643856189774724,7.643856189774724,9.451211111832329,23.73892349138178,0.5,0.14285714285714285,0.2857142857142857,0.1,0.2,0.7,150.0,229.13936293319264,196000000000000,156.701158877375
100,200,800,envelope,0.5199394226074219,16000000,20000,80000,160000,830.6623862918075,520000,6.643856189774724,7.643856189774724,9.643856189774725,23.931568569324174,0.5,0.125,0.25,0.09090909090909091,0.18181818181818182,0.7272727272727273,150.0,229.13936293319264,256000000000000,160.90214404684482
100,200,800,gaussian-filter,0.22635345458984374,16000000,20000,80000,160000,830.6623862918075,520000,6.643856189774724,7.643856189774724,9.643856189774725,23.931568569324174,0.5,0.125,0.25,0.09090909090909091,0.18181818181818182,0.7272727272727273,150.0,229.13936293319264,256000000000000,160.90214404684482
100,200,800,gst3d,3.633444976806641,16000000,20000,80000,160000,830.6623862918075,520000,6.643856189774724,7.643856189774724,9.643856189774725,23.931568569324174,0.5,0.125,0.25,0.09090909090909091,0.18181818181818182,0.7272727272727273,150.0,229.13936293319264,256000000000000,160.90214404684482
100,300,100,envelope,0.18253402709960936,3000000,30000,10000,30000,331.66247903554,140000,6.643856189774724,8.228818690495881,6.643856189774724,21.516531070045332,0.3333333333333333,1.0,3.0,0.2,0.6,0.2,200.0,229.13936293319264,9000000000000,124.94925863546828
100,300,100,gaussian-filter,0.1293914794921875,3000000,30000,10000,30000,331.66247903554,140000,6.643856189774724,8.228818690495881,6.643856189774724,21.516531070045332,0.3333333333333333,1.0,3.0,0.2,0.6,0.2,200.0,229.13936293319264,9000000000000,124.94925863546828
100,300,100,gst3d,0.7711448669433594,3000000,30000,10000,30000,331.66247903554,140000,6.643856189774724,8.228818690495881,6.643856189774724,21.516531070045332,0.3333333333333333,1.0,3.0,0.2,0.6,0.2,200.0,229.13936293319264,9000000000000,124.94925863546828
100,300,200,envelope,0.25530166625976564,6000000,30000,20000,60000,374.16573867739413,220000,6.643856189774724,8.228818690495881,7.643856189774724,22.516531070045332,0.3333333333333333,0.5,1.5,0.16666666666666666,0.5,0.3333333333333333,200.0,229.13936293319264,36000000000000,133.463763441989
100,300,200,gaussian-filter,0.15175018310546876,6000000,30000,20000,60000,374.16573867739413,220000,6.643856189774724,8.228818690495881,7.643856189774724,22.516531070045332,0.3333333333333333,0.5,1.5,0.16666666666666666,0.5,0.3333333333333333,200.0,229.13936293319264,36000000000000,133.463763441989
100,300,200,gst3d,1.44715576171875,6000000,30000,20000,60000,374.16573867739413,220000,6.643856189774724,8.228818690495881,7.643856189774724,22.516531070045332,0.3333333333333333,0.5,1.5,0.16666666666666666,0.5,0.3333333333333333,200.0,229.13936293319264,36000000000000,133.463763441989
100,300,300,envelope,0.3367912292480469,9000000,30000,30000,90000,435.88989435406734,300000,6.643856189774724,8.228818690495881,8.228818690495881,23.101493570766486,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,200.0,229.13936293319264,81000000000000,140.44971627767964
100,300,300,gaussian-filter,0.17420196533203125,9000000,30000,30000,90000,435.88989435406734,300000,6.643856189774724,8.228818690495881,8.228818690495881,23.101493570766486,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,200.0,229.13936293319264,81000000000000,140.44971627767964
100,300,300,gst3d,2.089051055908203,9000000,30000,30000,90000,435.88989435406734,300000,6.643856189774724,8.228818690495881,8.228818690495881,23.101493570766486,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,200.0,229.13936293319264,81000000000000,140.44971627767964
100,300,400,envelope,0.4120918273925781,12000000,30000,40000,120000,509.9019513592785,380000,6.643856189774724,8.228818690495881,8.643856189774725,23.516531070045332,0.3333333333333333,0.25,0.75,0.125,0.375,0.5,200.0,229.13936293319264,144000000000000,146.65326654122597
