inlines,xlines,samples,chunking_mode,avg_exec_time_sec,median_exec_time_sec,avg_total_peak_memory_bytes,median_total_peak_memory_bytes,total_runs,oom_count,oom_ratio
200,100,300,evenly_split,13.420442382494608,12.489005923271177,2153294165.3333335,2067642368.0,12,0,0.0
200,100,300,memaware,23.088449895381927,22.503851175308228,1589220693.3333333,1414168576.0,12,0,0.0
200,100,400,auto,15.724661111831665,15.573498010635376,2445967815.111111,2398269440.0,10,1,0.1
200,100,400,evenly_split,15.485181331634521,15.361727476119995,2432893383.111111,2366779392.0,10,1,0.1
200,100,400,memaware,31.4062247077624,30.864291548728943,1773897386.6666667,1473810432.0,12,0,0.0
200,200,100,auto,9.513276040554047,9.270525693893433,1618435754.6666667,1515536384.0,12,0,0.0
200,200,100,evenly_split,9.220139682292938,9.23408567905426,1612911957.3333333,1512110080.0,12,0,0.0
200,200,100,memaware,15.376355310281118,15.248952269554138,1349280768.0,1209622528.0,12,0,0.0
200,200,200,auto,15.623854133817884,15.691225051879885,2449864476.4444447,2375876608.0,10,1,0.1
200,200,200,evenly_split,15.454696416854858,15.566324472427368,2439171185.7777777,2400497664.0,10,1,0.1
200,200,200,memaware,20.621906300385792,15.728712916374207,2689076224.0,2638090240.0,12,0,0.0
200,200,300,auto,21.500426451365154,20.65286755561829,3524482389.3333335,3444506624.0,10,1,0.1
200,200,300,evenly_split,21.677962991926407,21.595486640930176,3499142712.888889,3462422528.0,10,1,0.1
200,200,300,memaware,43.90569315354029,41.360947012901306,1956706304.0,1701478400.0,12,0,0.0
200,200,400,auto,26.36498749256134,26.240177631378174,4474737322.666667,4415096832.0,8,2,0.25
200,200,400,evenly_split,26.492785294850666,26.32318902015686,4458941781.333333,4419747840.0,8,2,0.25
200,200,400,memaware,41.62268481651942,33.12186789512634,3885303125.3333335,3782543360.0,12,0,0.0
200,300,100,auto,12.80485870440801,12.352717757225037,2141627050.6666667,2010044416.0,12,0,0.0
200,300,100,evenly_split,12.546839714050293,12.549607992172241,2137045674.6666667,2056110080.0,12,0,0.0
200,300,100,memaware,22.872652570406597,23.969305992126465,1576253098.6666667,1411403776.0,12,0,0.0
200,300,200,auto,21.218581014209324,20.56025338172913,3537971882.6666665,3425832960.0,10,1,0.1
200,300,200,evenly_split,20.94606026013692,19.91962194442749,3484198229.3333335,3429330944.0,10,1,0.1
200,300,200,memaware,44.14988579352697,41.74523413181305,1944143872.0,1671507968.0,12,0,0.0
200,300,300,auto,29.356024622917175,28.573542833328247,4937558016.0,4934092800.0,8,2,0.25
200,300,300,evenly_split,28.47207474708557,28.320544481277466,4943899989.333333,4940883968.0,8,2,0.25
200,300,300,memaware,63.046046237150826,60.49848425388336,2165155498.6666665,1881589760.0,12,0,0.0
200,300,400,auto,37.871198217074074,38.17567002773285,6526444202.666667,6527315968.0,8,2,0.25
200,300,400,evenly_split,37.89193367958069,38.30905556678772,6516533248.0,6509197312.0,8,2,0.25
200,300,400,memaware,81.90068326393764,75.63458943367004,2374986752.0,2092261376.0,12,0,0.0
200,400,100,auto,15.438433541191948,15.124610185623167,2487798442.6666665,2504179712.0,10,1,0.1
200,400,100,evenly_split,15.342851029502022,15.463001251220703,2460002986.6666665,2380357632.0,10,1,0.1
200,400,100,memaware,29.83862356344859,29.167927861213684,1773636266.6666667,1491283968.0,12,0,0.0
200,400,200,auto,26.121376196543377,25.766858220100403,4420669440.0,4425385984.0,8,2,0.25
200,400,200,evenly_split,25.764056007067364,25.470539331436157,4468072448.0,4416798720.0,8,2,0.25
200,400,200,memaware,42.108289659023285,32.68794631958008,3882917546.6666665,3721621504.0,12,0,0.0
200,400,300,auto,38.13460890452067,37.902498722076416,6526041429.333333,6519523328.0,8,2,0.25
200,400,300,evenly_split,37.39245061079661,37.757736563682556,6513629866.666667,6508752896.0,8,2,0.25
200,400,300,memaware,80.76453516880672,79.11389303207397,2369959594.6666665,2080165888.0,12,0,0.0
200,400,400,auto,47.98288083076477,47.58932685852051,8548917248.0,8554196992.0,6,3,0.5
200,400,400,evenly_split,47.61222577095032,47.05022168159485,8551066282.666667,8544759808.0,6,3,0.5
200,400,400,memaware,80.31063489119212,61.90445566177368,5365272576.0,4804227072.0,12,0,0.0
300,100,100,auto,8.012104352315268,7.92180860042572,1335263232.0,1251878912.0,12,0,0.0
300,100,100,evenly_split,7.903424580891927,7.831461787223816,1349365760.0,1251088384.0,12,0,0.0
300,100,100,memaware,11.638291358947754,11.581876039505005,1153875626.6666667,1031411712.0,12,0,0.0
300,100,200,auto,13.277159770329794,12.669800877571106,2139340117.3333333,1996922880.0,12,0,0.0
300,100,200,evenly_split,13.364992578824362,12.531522154808044,2131033770.6666667,2000941056.0,12,0,0.0
300,100,200,memaware,23.887938777605694,23.60481321811676,1581378560.0,1432252416.0,12,0,0.0
