tool,step,memory_mb
traceq_tracemalloc,73,5767.850218963623
traceq_tracemalloc,74,5767.850218963623
traceq_tracemalloc,75,5767.850218963623
traceq_tracemalloc,76,5767.850218963623
traceq_tracemalloc,77,5767.850218963623
traceq_tracemalloc,78,5767.850218963623
traceq_tracemalloc,79,5767.850218963623
traceq_tracemalloc,80,5767.850218963623
traceq_tracemalloc,81,5767.850218963623
traceq_tracemalloc,82,5767.850218963623
traceq_tracemalloc,83,5767.850218963623
traceq_tracemalloc,84,5767.850218963623
traceq_tracemalloc,85,5767.850218963623
traceq_tracemalloc,86,5767.850218963623
traceq_tracemalloc,87,5767.850218963623
traceq_tracemalloc,88,5767.850218963623
traceq_tracemalloc,89,5767.850218963623
traceq_tracemalloc,90,5767.850218963623
traceq_tracemalloc,91,5273.464456939697
traceq_tracemalloc,92,4284.692932891846
traceq_tracemalloc,93,3790.30717086792
traceq_tracemalloc,94,3790.30717086792
traceq_tracemalloc,95,3295.921408843994
traceq_tracemalloc,96,3295.921408843994
traceq_tracemalloc,97,3295.921408843994
traceq_tracemalloc,98,3295.921408843994
traceq_tracemalloc,99,3295.921408843994
traceq_tracemalloc,100,3295.921408843994
traceq_tracemalloc,101,3295.921414375305
traceq_tracemalloc,102,1647.9607238769531
traceq_tracemalloc,103,3295.9214239120483
traceq_tracemalloc,104,3295.9214239120483
traceq_tracemalloc,105,0.03013324737548828
traceq_kernel,0,98.171875
traceq_kernel,1,98.171875
traceq_kernel,2,101.35390625
traceq_kernel,3,116.80859375
traceq_kernel,4,130.00859375
traceq_kernel,5,147.20859375
traceq_kernel,6,163.60859375
traceq_kernel,7,178.80859375
traceq_kernel,8,195.60859375
traceq_kernel,9,213.20859375
traceq_kernel,10,237.60859375
traceq_kernel,11,263.60859375
traceq_kernel,12,289.60859375
traceq_kernel,13,316.00859375
traceq_kernel,14,342.00859375
traceq_kernel,15,368.80859375
traceq_kernel,16,395.20859375
traceq_kernel,17,422.00859375
traceq_kernel,18,448.00859375
traceq_kernel,19,474.80859375
traceq_kernel,20,500.80859375
traceq_kernel,21,526.80859375
traceq_kernel,22,552.40859375
traceq_kernel,23,578.40859375
traceq_kernel,24,604.00859375
traceq_kernel,25,630.00859375
traceq_kernel,26,655.60859375
traceq_kernel,27,682.00859375
traceq_kernel,28,708.40859375
traceq_kernel,29,733.60859375
traceq_kernel,30,760.00859375
traceq_kernel,31,786.00859375
traceq_kernel,32,811.60859375
traceq_kernel,33,837.20859375
traceq_kernel,34,863.60859375
traceq_kernel,35,889.60859375
traceq_kernel,36,912.78359375
traceq_kernel,37,922.68359375
traceq_kernel,38,922.68359375
traceq_kernel,39,922.68359375
traceq_kernel,40,922.68359375
traceq_kernel,41,922.68359375
traceq_kernel,42,922.68359375
traceq_kernel,43,922.68359375
traceq_kernel,44,922.68359375
traceq_kernel,45,922.68359375
traceq_kernel,46,922.68359375
traceq_kernel,47,922.68359375
traceq_kernel,48,922.68359375
traceq_kernel,49,922.68359375
traceq_kernel,50,922.68359375
traceq_kernel,51,922.68359375
traceq_kernel,52,924.95390625
traceq_kernel,53,943.15390625
traceq_kernel,54,1026.43515625
traceq_kernel,55,1117.63515625
traceq_kernel,56,1218.43515625
traceq_kernel,57,1310.43515625
traceq_kernel,58,1401.63515625
traceq_kernel,59,1493.23515625
traceq_kernel,60,1587.23515625
traceq_kernel,61,1683.63515625
traceq_kernel,62,1776.43515625
traceq_kernel,63,1868.83515625
traceq_kernel,64,1960.03515625
traceq_kernel,65,2059.23515625
traceq_kernel,66,2150.43515625
traceq_kernel,67,2243.23515625
traceq_kernel,68,2334.83515625
traceq_kernel,69,2426.03515625
traceq_kernel,70,2509.61015625
traceq_kernel,71,2558.73515625
traceq_kernel,72,2571.91015625
traceq_kernel,73,2571.91015625
traceq_kernel,74,2571.91015625
traceq_kernel,75,2571.91015625
traceq_kernel,76,2571.91015625
traceq_kernel,77,2571.91015625
traceq_kernel,78,2571.91015625
traceq_kernel,79,2571.91015625
traceq_kernel,80,2571.91015625
traceq_kernel,81,2571.91015625
traceq_kernel,82,2571.91015625
traceq_kernel,83,2571.91015625
traceq_kernel,84,2571.91015625
traceq_kernel,85,2571.91015625
traceq_kernel,86,2571.91015625
traceq_kernel,87,2571.91015625
traceq_kernel,88,2571.91015625
traceq_kernel,89,2571.91015625
traceq_kernel,90,2571.91015625
traceq_kernel,91,2571.91015625
traceq_kernel,92,2571.91015625
traceq_kernel,93,2571.91015625
traceq_kernel,94,2571.91015625
traceq_kernel,95,2571.91015625
traceq_kernel,96,2571.91015625
traceq_kernel,97,2571.91015625
traceq_kernel,98,2571.91015625
traceq_kernel,99,2571.91015625
traceq_kernel,100,2571.91015625
traceq_kernel,101,2571.91015625
traceq_kernel,102,2571.91015625
traceq_kernel,103,2578.72578125
traceq_kernel,104,2619.12578125
traceq_kernel,105,2761.18828125
traceq_kernel,106,2961.98828125
traceq_kernel,107,3163.98828125
traceq_kernel,108,3382.78828125
traceq_kernel,109,3583.98828125
traceq_kernel,110,3807.98828125
traceq_kernel,111,4008.37890625
